Empresa,Sector,Por qué es buen objetivo,Canal de contacto,Email público,Estado
Sinergia Cowork,Coworking / Comunidad,Aliado estratégico: una jornada en sus sedes te expone a cientos de empresas miembro,hola@sinergia.uy + LinkedIn,hola@sinergia.uy,
CUTI (Cámara de TI),Cámara empresarial,Alianza: organizan eventos y afters para 390+ empresas tech; proponer masajes en sus eventos,Formulario en cuti.org.uy + LinkedIn,,
Zonamerica (administración),Parque tecnológico,Aliado: organizan actividades de bienestar para 9500 personas y 300+ empresas del parque,web.zonamerica.com/contact + tel 2518 2000,,
Aguada Park (administración),Parque tecnológico,Aliado: parque de servicios frente al puerto; cerca de Ciudad Vieja,aguadapark.com + LinkedIn,,
WTC Free Zone (administración),Parque de oficinas,Aliado: torre con decenas de empresas; actividades para inquilinos,wtcfreezone.com + LinkedIn,,
Globant Uruguay,Tecnología,Multinacional tech con cultura de beneficios; oficinas en Montevideo,LinkedIn (buscar People Ops / Culture Uruguay),,
dLocal,Tecnología / Fintech,Unicornio uruguayo; equipos grandes en Montevideo; presupuesto de perks,LinkedIn (buscar People Experience),,
GeneXus (Globant),Tecnología,Empresa histórica uruguaya; oficinas propias,LinkedIn + genexus.com,,
MercadoLibre Uruguay,Tecnología / E-commerce,Mejor reputación empleadora del país; invierten fuerte en bienestar,LinkedIn (buscar People / Benefits Uruguay),,
Despegar.com (Zonamerica),Tecnología / Viajes,Oficina grande en Zonamerica,LinkedIn,,
Tata Consultancy Services UY,Tecnología / BPO,Cientos de empleados en Zonamerica; programas de bienestar corporativo globales,LinkedIn (HR Uruguay),,
Sabre Uruguay,Tecnología,Oficina grande en Zonamerica,LinkedIn,,
Accesa (Grupo Antel),Call center / BPO,Cientos de operadores con estrés físico real; empresa estatal con presupuesto,LinkedIn + accesa.com.uy,,
CNT Uruguay,Call center,Líder en telemarketing local; alta rotación = interés en retención,LinkedIn + web,,
Lazos Contact Center,Call center,Mediano local: decisión rápida,LinkedIn + web,,
Synapsis Smart Outsourcing,BPO,18 años en el mercado; mediano local,LinkedIn + web,,
Xtendo Group,BPO / Cloud,Mediano con sede en Montevideo,LinkedIn + web,,
Guyer & Regules,Estudio jurídico,El estudio más grande; Plaza Independencia 811 (a cuadras de Citrino),LinkedIn (buscar RRHH) + guyer.com.uy,,
Ferrere Abogados,Estudio jurídico,Estudio grande en Juncal (Ciudad Vieja); épocas de cierre = estrés,LinkedIn + ferrere.com,,
CPA Ferrere,Consultora contable,Juncal 1392 a minutos de Citrino; cientos de profesionales,LinkedIn + cpa.com.uy,,
PwC Uruguay,Consultora Big4,Oficina en Ciudad Vieja; programas de bienestar globales,LinkedIn (HC Uruguay),,
Deloitte Uruguay,Consultora Big4,Oficinas en Sinergia Faro y WTC; cultura de beneficios,LinkedIn (Talent Uruguay),,
KPMG Uruguay,Consultora Big4,Oficinas céntricas,LinkedIn,,
Jiménez de Aréchaga,Estudio jurídico,Estudio tradicional en Ciudad Vieja,LinkedIn + web,,
Baker Tilly Uruguay,Consultora contable,Mediana en Ciudad Vieja; decisión más rápida que Big4,LinkedIn + web,,
Bado Kuster Zerbino & Rachetti,Estudio jurídico,Ciudad Vieja,LinkedIn + web,,
BBVA Uruguay,Banca,Casa central céntrica; presupuesto de RRHH grande,LinkedIn (buscar Talento),,
Itaú Uruguay,Banca,Banco privado más grande; eventos internos frecuentes,LinkedIn,,
Santander Uruguay,Banca,Presupuesto grande; semana de la salud anual,LinkedIn,,
Scotiabank Uruguay,Banca,Programas de bienestar corporativo globales,LinkedIn,,
